query,label,suffix,reasoning_effort,run,expected_web_search,web_search_used,web_search_count,result_id,trace_id,resource_count,resource_names,response_length,elapsed_seconds,timestamp,error
Lost IDs Austin TX,lost-ids-austin,centraltx,low,1,False,YES,8,e9ade670-5e22-4741-b18e-6ebe1f1121a8,6884d054d826e84a56f9f0066ee42793,5,Trinity Center Austin – ID & Birth Certificate Assistance; Central Presbyterian Church – ID Fee Assistance (Neighbors Program); Foundation for the Homeless – Feed My People (Includes ID Documentation Help); Austin Public Library – Enhanced Library Card (Supplemental Local Photo ID); Texas Department of Public Safety – Driver License & ID Card Replacement,6561,61.3,2026-02-12T16:36:47.238638,
Lost IDs Austin TX,lost-ids-austin,centraltx,low,2,False,YES,7,450b2119-01db-4c4f-9113-dd69fff0e833,35a83b915e180a4b9c73eeb2fb7f9edd,8,Trinity Center Austin – ID Assistance; Central Presbyterian Church – ID Financial Assistance; St. Austin Catholic Parish – Newman Hall ID Assistance; Foundation for the Homeless – Feed My People (Downtown Breakfast & Support); All Saints’ Episcopal Church – Loaves and Fishes / ID Help; Baptist Community Center Mission – Financial Assistance (Birth Certificates); UPLift at University Presbyterian Church – ID & Birth Certificate Assistance; Sunrise Homeless Navigation Center – Sunrise Hub & Hotline (ServicePoint ID Cards),10457,81.9,2026-02-12T16:38:14.435404,
Household items for formerly homeless client Austin,household-items-austin,centraltx,none,1,False,YES,2,ff8c93d8-9aca-4962-8bbb-7cdfca3a829c,2dcef1d4c6d07cffa0ac16707875d097,4,Austin Furniture Bank; Austin City Lutherans – Move-In Ministry; Austin Habitat for Humanity ReStore – South Austin; Goodwill Central Texas Retail Stores (Multiple Austin Locations),4509,20.3,2026-02-12T16:38:40.084107,
Household items for formerly homeless client Austin,household-items-austin,centraltx,none,2,False,YES,2,125c43b9-2beb-4937-b09d-4171aab21296,eca9b67868b5f80ee4dc64c703686091,3,Society of St. Vincent de Paul – Assistance & Thrift Store (Austin); MoveOutATX Free Furniture Market (Seasonal – City of Austin); 211 Texas / United Way Central Texas – Household Goods & Furniture Referrals,3996,19.4,2026-02-12T16:39:04.762523,
Household items for formerly homeless client Austin,household-items-austin,centraltx,low,1,False,YES,7,9b9e8b3a-c914-4abf-9f47-dc67ea2662cc,42438f2f32a835d035055ecbf0785bdf,3,Austin City Lutherans – Move-In Ministry; Society of St. Vincent de Paul – Austin Thrift Store & Voucher Support; Austin Furniture Bank,4356,71.6,2026-02-12T16:40:21.713538,
Household items for formerly homeless client Austin,household-items-austin,centraltx,low,2,False,YES,6,69ec575d-f09f-42e7-ab43-570480dbd3db,3bb03d2adf7ede045047bcdd79bfe126,2,Austin City Lutherans – Move-In Ministry; St. Vincent de Paul Thrift Store – Austin Location,2790,65.0,2026-02-12T16:41:32.057098,
Cap metro cold weather information,cap-metro-cold,centraltx,none,1,False,YES,2,9410d9e2-ebc3-4606-9493-70332d8dbb51,73686635ff110647b1587eb2dc9cef7e,2,CapMetro – Transportation to City of Austin Cold Weather Shelters & Warming Centers; City of Austin Cold Weather Shelters – Access & Hotline (CapMetro-supported transport),3196,23.9,2026-02-12T16:42:01.193625,
Cap metro cold weather information,cap-metro-cold,centraltx,none,2,False,YES,2,ae649204-f5c7-433c-b4ed-e5e4d7c446f2,b82c3b128320cf00d9618f5c20ce5b47,3,Capital Metro – Service Alerts & Cold Weather Service Changes; Austin–Travis County Cold Weather Shelter Infoline; Austin–Travis County Emergency Information (Winter Weather & Transit Updates),3504,17.6,2026-02-12T16:42:25.998055,
Cap metro cold weather information,cap-metro-cold,centraltx,low,1,False,YES,3,fb4166d8-f194-4619-a132-03710ecce156,5b7bd9102a61655166d276194471f9ce,2,CapMetro Service Alerts & GO Line (Cold Weather Transit Information); City of Austin Cold Weather Shelters (with CapMetro Transportation Support),3298,45.2,2026-02-12T16:43:16.483255,
Cap metro cold weather information,cap-metro-cold,centraltx,low,2,False,YES,2,4f5d53e3-6a6a-47a1-bb62-b2f4f418c809,9de58a87997fc32455a072ba2504c3d0,1,CapMetro – Service During Extreme Weather,1679,20.9,2026-02-12T16:43:42.661913,
Paraplegic support coordination Reading PA,paraplegic-reading,keystone,none,1,False,YES,2,0136c590-25a0-4f4d-894c-1557bc8cc272,b6f97875af9309889b83496263565898,4,Abilities in Motion (Center for Independent Living) – Reading; Reading Hospital Rehabilitation at Wyomissing – Spinal Cord Injury Support Group; Berks County Mental Health / Developmental Disabilities Program (MH/DD); Access Services – Supported Living (Schuylkill/Carbon/Berks Office),5471,24.8,2026-02-12T16:44:12.751173,
Paraplegic support coordination Reading PA,paraplegic-reading,keystone,none,2,False,YES,2,d87d251c-8b33-47ee-bafb-3149939efbca,e890314e531fa5c0a9fa3cd2adb58dd3,4,"Abilities in Motion (AIM) – Center for Independent Living, Berks County; Reading Health Rehabilitation Hospital – Spinal Cord Injury Support Group; WellSpan Surgery and Rehabilitation Hospital – Spinal Tap Spinal Cord Injury Support Group (Hybrid); Good Shepherd Rehabilitation – Spinal Cord Injury Support Group (Hybrid)",4986,26.0,2026-02-12T16:44:44.082399,
Paraplegic support coordination Reading PA,paraplegic-reading,keystone,low,1,False,YES,5,7dd54e47-7285-466e-8577-92190ae9efa5,8e76a30de17653cd4a5ef4951e96f89f,3,Abilities in Motion – Center for Independent Living (Independent Living Department); Good Shepherd Physical Therapy – Blandon (Neurorehabilitation & Physical Therapy); Berks County Area Agency on Aging (for Older Adults with Disabilities),4492,58.4,2026-02-12T16:45:47.790691,
Paraplegic support coordination Reading PA,paraplegic-reading,keystone,low,2,False,YES,4,7d1e2d2e-c447-4237-a19a-d0cc99321abd,13a393bccb9d07745beddf7873c40b90,6,Abilities in Motion – Center for Independent Living; Reading Hospital Rehabilitation at Wyomissing – Spinal Cord Injury Support Group; Encompass Health Rehabilitation Hospital of Reading – Spinal Cord Rehabilitation; PA Link to Aging and Disability Resources – Berks/Lancaster/Lebanon Service Area; Berks County Area Agency on Aging; PA Inclusive – Berks County Regional Office,8265,62.6,2026-02-12T16:46:55.640961,
Emergency rent assistance for single mother in Austin 78741,control-rent-assist,centraltx,none,1,True,YES,2,dbd58481-f960-45fb-8b85-dc1ed522ad6c,a3caad49db514713a09d980b184c8d93,4,I Belong in Austin – City of Austin Emergency Rental Assistance; El Buen Samaritano – Financial & Rental Assistance (Administrator for I Belong in Austin); St. Austin Catholic Parish – Outreach to Persons in Need (Rental Assistance); Texas 2-1-1 (United Way of Texas Information & Referral),4860,33.7,2026-02-12T16:47:34.607879,
Emergency rent assistance for single mother in Austin 78741,control-rent-assist,centraltx,none,2,True,YES,1,f68011d2-55d9-4d1a-a476-eca4c5917dd5,e4e0c1102bc2e440ef5711cdcc85221e,5,St. Vincent de Paul – Diocesan Council of Austin (Vincentian Family Center); St. Austin Catholic Parish – Emergency Financial Assistance; Catholic Charities of Central Texas – St. Michael’s Veteran Services & Financial Stability (Emergency Assistance); Caritas of Austin – Housing & Crisis Assistance; Foundation Communities – Resident Emergency Assistance (for current residents),6825,39.9,2026-02-12T16:48:19.843751,
Emergency rent assistance for single mother in Austin 78741,control-rent-assist,centraltx,low,1,True,YES,9,9f8c8413-9475-4fca-b7be-e1783cbee1a1,e968e8edae8c87f120e4b42ecd48e2f2,5,City of Austin – I Belong in Austin (Emergency Rental Assistance); El Buen Samaritano – Financial and Rental Assistance (City/County Programs); Baptist Community Center Mission – Family Assistance (Rent & Utilities); Catholic Charities of Central Texas – Financial Stability Program; St. Austin Catholic Parish – Outreach Rent & Utility Assistance (Lottery-Based),6714,119.1,2026-02-12T16:50:24.226500,
Emergency rent assistance for single mother in Austin 78741,control-rent-assist,centraltx,low,2,True,YES,4,c557d297-aa15-4e6c-b07e-b17228e50a48,5cef9e56801fe39273b92de936567c73,3,I Belong in Austin – City of Austin Rental Assistance; El Buen Samaritano – Financial & Rental Assistance; Catholic Charities of Central Texas – Financial Stability (Rent/Mortgage Assistance),4059,41.9,2026-02-12T16:51:11.435867,
Free dental care for uninsured adults in Reading PA,control-dental-reading,keystone,none,1,True,YES,2,4d8fb8fa-b297-4636-a7bc-1bdbb5aa063d,bb8f8a94bb65af37f6b7fc10daa6d1bc,1,Berks Community Health Center – Dental Services,1339,17.3,2026-02-12T16:51:33.990084,
Free dental care for uninsured adults in Reading PA,control-dental-reading,keystone,none,2,True,YES,2,0094ab6d-7d6f-461f-a471-d1b0ef5bc4c3,efd222bb6f3e65c3cbd39310a9f7b643,1,Berks Community Health Center – Rockland Street Dental Clinic,1417,14.1,2026-02-12T16:51:53.355413,
Free dental care for uninsured adults in Reading PA,control-dental-reading,keystone,low,1,True,YES,4,3adbfb62-a492-4495-a383-da6283e7f24f,1c050725e9f4b72d4825324e2f629d16,2,Berks Community Health Center – Rockland Street Dental Clinic; Dental Lifeline Network – Pennsylvania Donated Dental Services (DDS),3144,41.7,2026-02-12T16:52:40.377318,
Free dental care for uninsured adults in Reading PA,control-dental-reading,keystone,low,2,True,YES,5,79448e4f-847b-43ca-a9e8-81931bcbf993,f51289ff80ea712fe2ca78f87768afe6,2,Berks Community Health Center – Dental (Rockland Street); MOM-n-PA Free Dental Clinic – 2026 Allentown Mission,3330,68.5,2026-02-12T16:53:54.150734,
