query,label,suffix,temperature,reasoning_effort,run,resource_count,resource_names,response_length,elapsed_seconds,timestamp,error
Housing resources Austin 78745,housing-austin,centraltx,0.9,none,2,10,Austin Public Health Neighborhood Centers – Rent & Utility Assistance Line; Austin Shelter for Women and Children (Salvation Army); Caritas of Austin – Housing Programs; ECHO – Coordinated Entry / Coordinated Assessment (Austin/Travis County); Foundation Communities – Affordable Housing (South Austin Sites near 78745); Housing Authority of the City of Austin (HACA) – Public Housing & Rental Assistance; I Belong in Austin (IBIA) – City of Austin Rental Assistance (Administered by El Buen Samaritano); Mary Lee Foundation – Affordable & Supportive Housing; Sunrise Homeless Navigation Center (Hub + City Shelter Waitlist Access); The SAFE Alliance – Emergency Shelter & Housing Support for Survivors,12325,63.2,2026-02-17T10:24:20.375002,
Housing resources Austin 78745,housing-austin,centraltx,0.9,none,3,9,Austin Public Health Neighborhood Centers – Rent & Utility Assistance Line; Austin Resource Center for the Homeless (ARCH) – Men’s Shelter; ECHO – Coordinated Entry / Coordinated Assessment (Austin/Travis County); Eighth Street Shelter – Women & Transgender Shelter; Foundation Communities – Affordable Housing (South Austin Properties); I Belong in Austin (IBIA) – City of Austin Rental Assistance (Administered by El Buen Samaritano); Mary Lee Foundation – Affordable & Supportive Housing (South Austin); Sunrise Homeless Navigation Center & Hotline; The SAFE Alliance – Emergency Shelter & Housing Support (Domestic/Sexual Violence),12070,53.8,2026-02-17T10:25:14.185357,
Employment & Job Training Austin 78701,employment-austin,centraltx,0.0,none,1,6,Austin Community College (ACC) Career Services – Highland Campus; City of Austin First Workers' Day Labor Program; Goodwill Central Texas – Career Services (Austin); Skillpoint Alliance – Austin; Workforce Solutions Capital Area – East Career Center (ACC Eastview Campus); Year Up United – Austin,6075,21.7,2026-02-17T10:25:35.887957,
Employment & Job Training Austin 78701,employment-austin,centraltx,0.0,none,2,8,Austin Community College (ACC) Career Services; Capital IDEA – Free College-to-Career Training Support; City of Austin First Workers' Day Labor Program; Goodwill Central Texas – Career Services (Austin Locations); Skillpoint Alliance – Skilled Trades & Manufacturing Training; Workforce Solutions Capital Area – East Career Center (ACC Eastview Campus); Workforce Solutions Capital Area – North Career Center; Year Up United – Austin Career Pathways,10272,39.1,2026-02-17T10:26:14.994437,
Employment & Job Training Austin 78701,employment-austin,centraltx,0.0,none,3,6,Austin Community College (ACC) Career Services – Highland Campus; City of Austin First Workers' Day Labor Program; Goodwill Central Texas – Career Services (Austin); Skillpoint Alliance – Austin; Workforce Solutions Capital Area – East Career Center (ACC Eastview Campus); Year Up United – Austin,5713,24.0,2026-02-17T10:26:39.039173,
Employment & Job Training Austin 78701,employment-austin,centraltx,0.3,none,1,6,Austin Community College (ACC) Career Services – Highland Campus; City of Austin First Workers' Day Labor Program; Goodwill Central Texas – Career Services (Austin Locations); Skillpoint Alliance – Austin; Workforce Solutions Capital Area – East Career Center (ACC Eastview Campus); Year Up United – Austin,6263,24.3,2026-02-17T10:27:03.339840,
Employment & Job Training Austin 78701,employment-austin,centraltx,0.3,none,2,6,Capital IDEA; City of Austin First Workers' Day Labor Program; Goodwill Central Texas – Career Services (Austin Locations); Skillpoint Alliance – Austin; Workforce Solutions Capital Area – East Career Center (ACC Eastview Campus); Year Up United – Austin,6467,33.7,2026-02-17T10:27:37.071839,
Employment & Job Training Austin 78701,employment-austin,centraltx,0.3,none,3,7,Austin Community College (ACC) Career Services – Highland Campus; City of Austin First Workers' Day Labor Program; Goodwill Central Texas – Career Services (Austin Locations); Skillpoint Alliance – Austin; Workforce Solutions Capital Area – East Career Center (ACC Eastview Campus); Workforce Solutions Capital Area – North Career Center; Year Up United – Austin,8279,26.6,2026-02-17T10:28:03.635113,
Employment & Job Training Austin 78701,employment-austin,centraltx,0.6,none,1,6,Austin Community College (ACC) Career Services – Highland Campus; City of Austin First Workers' Day Labor Program; Goodwill Central Texas – Career Services (Austin); Skillpoint Alliance – Austin; Workforce Solutions Capital Area – East Career Center (ACC Eastview Campus); Year Up – Austin,6278,23.2,2026-02-17T10:28:26.800091,
Employment & Job Training Austin 78701,employment-austin,centraltx,0.6,none,2,7,Austin Community College (ACC) Career Services; Capital IDEA (College-to-Career Training Support); City of Austin First Workers' Day Labor Program; Goodwill Central Texas – Career Services (Austin); Skillpoint Alliance – Austin; Workforce Solutions Capital Area – East Career Center (ACC Eastview Campus); Year Up United – Austin,8430,33.3,2026-02-17T10:29:00.135340,
Employment & Job Training Austin 78701,employment-austin,centraltx,0.6,none,3,7,Austin Community College (ACC) Career Services – Highland Campus; City of Austin First Workers' Day Labor Program; Goodwill Central Texas – Career Services (Austin Community Center & Resource Center); Skillpoint Alliance – Austin; Workforce Solutions Capital Area – East Career Center (ACC Eastview Campus); Workforce Solutions Capital Area – North Career Center; Year Up United – Austin,7395,30.0,2026-02-17T10:29:30.159964,
Employment & Job Training Austin 78701,employment-austin,centraltx,0.9,none,1,8,Austin Community College (ACC) Career Services – Highland Campus; Capital IDEA; City of Austin First Workers' Day Labor Program; Goodwill Central Texas – Career Services (Austin Sites); Skillpoint Alliance – Austin; Workforce Solutions Capital Area – East Career Center (ACC Eastview Campus); Workforce Solutions Capital Area – North Career Center; Year Up – Austin,9228,37.7,2026-02-17T10:30:07.883447,
Employment & Job Training Austin 78701,employment-austin,centraltx,0.9,none,2,7,Austin Community College (ACC) Career Services – Highland Campus; City of Austin First Workers' Day Labor Program; Goodwill Central Texas – Career Services (GCC and GRC Enrollment); Skillpoint Alliance – Austin; Workforce Solutions Capital Area – East Career Center (ACC Eastview Campus); Workforce Solutions Capital Area – North Career Center; Year Up United – Austin,7876,71.6,2026-02-17T10:31:19.480535,
Employment & Job Training Austin 78701,employment-austin,centraltx,0.9,none,3,6,Austin Community College (ACC) Career Services – Highland Campus; City of Austin First Workers' Day Labor Program; Goodwill Central Texas – Career Services (Austin); Skillpoint Alliance – Austin; Workforce Solutions Capital Area – East Career Center (ACC Eastview Campus); Year Up United – Austin,6282,32.1,2026-02-17T10:31:51.581301,
Emergency rent assistance for single mother in Austin 78741,rent-assist-austin,centraltx,0.0,none,1,5,Austin Public Health – Neighborhood Centers (Rent & Utility Help) – Montopolis / Dove Springs Area; Catholic Charities of Central Texas – Financial Stability (Rent/Mortgage/Utilities); I Belong in Austin (IBIA) – City of Austin Rental Assistance (Administered by El Buen Samaritano); St. Austin Catholic Parish – Outreach to Persons in Need (Rent/Utilities); St. Vincent de Paul – Austin Conferences (Address-Based Parish Assistance),7099,27.9,2026-02-17T10:32:19.491361,
Emergency rent assistance for single mother in Austin 78741,rent-assist-austin,centraltx,0.0,none,2,5,Austin Public Health – Neighborhood Centers Rent & Utility Assistance (Montopolis & Dove Springs for 78741); Catholic Charities of Central Texas – Financial Stability (Rent/Mortgage/Utilities); I Belong in Austin (IBIA) – City of Austin Rental Assistance (Administered by El Buen Samaritano); St. Austin Catholic Parish – Outreach to Persons in Need (Rent/Utilities); St. Vincent de Paul – Austin Conferences (Including St. Mary Cathedral and Nearby Parishes),6895,28.7,2026-02-17T10:32:48.147226,
Emergency rent assistance for single mother in Austin 78741,rent-assist-austin,centraltx,0.0,none,3,5,Austin Public Health – Neighborhood Centers Rent & Utility Assistance (Montopolis & Dove Springs for 78741); Catholic Charities of Central Texas – Financial Stability (Rent/Mortgage/Utilities); I Belong in Austin (IBIA) – City of Austin Rental Assistance (Administered by El Buen Samaritano); St. Austin Catholic Parish – Outreach to Persons in Need (Rent/Utilities); St. Vincent de Paul – Austin Conferences (via Locator),6641,23.2,2026-02-17T10:33:11.299881,
Emergency rent assistance for single mother in Austin 78741,rent-assist-austin,centraltx,0.3,none,1,5,Austin Public Health Neighborhood Centers – Rent & Utility Help (Montopolis & Dove Springs for 78741); Catholic Charities of Central Texas – Financial Stability (Rent/Mortgage/Utilities); I Belong in Austin (IBIA) – City of Austin Rental Assistance (Administered by El Buen Samaritano); St. Austin Catholic Parish – Outreach to Persons in Need (Rent/Utilities); St. Vincent de Paul – Austin Conferences (ZIP-Based Rent & Utility Help),6249,41.9,2026-02-17T10:33:53.224056,
Emergency rent assistance for single mother in Austin 78741,rent-assist-austin,centraltx,0.3,none,2,5,Austin Public Health Neighborhood Centers – Rent & Utility Help (Montopolis & Dove Springs for 78741); Catholic Charities of Central Texas – Financial Stability (Rent/Mortgage/Utilities); I Belong in Austin (IBIA) – City of Austin Rental Assistance (Administered by El Buen Samaritano); St. Austin Catholic Parish – Outreach to Persons in Need (Rent/Utilities); St. Vincent de Paul – Austin Conferences (ZIP-Based Parish Assistance),6438,21.1,2026-02-17T10:34:14.370953,
Emergency rent assistance for single mother in Austin 78741,rent-assist-austin,centraltx,0.3,none,3,5,Austin Public Health – Neighborhood Centers Rent & Utility Assistance (Montopolis / Dove Springs for 78741); Catholic Charities of Central Texas – Financial Stability (Rent/Mortgage/Utilities); I Belong in Austin (IBIA) – City of Austin Rental Assistance (Administered by El Buen Samaritano); St. Austin Catholic Parish – Outreach to Persons in Need (Rent/Utilities); St. Vincent de Paul – Austin Conferences (Rent & Utility Assistance by ZIP Code),6362,23.4,2026-02-17T10:34:37.795796,
Emergency rent assistance for single mother in Austin 78741,rent-assist-austin,centraltx,0.6,none,1,5,Austin Public Health – Neighborhood Centers Rent & Utility Assistance (Montopolis & Dove Springs for 78741); Catholic Charities of Central Texas – Financial Stability (Rent/Mortgage/Utilities); I Belong in Austin (IBIA) – City of Austin Rental Assistance (Administered by El Buen Samaritano); St. Austin Catholic Parish – Outreach to Persons in Need (Rent/Utilities); St. Vincent de Paul – Austin Conferences (Zip-Code Based Parish Assistance),6837,29.7,2026-02-17T10:35:07.539273,
Emergency rent assistance for single mother in Austin 78741,rent-assist-austin,centraltx,0.6,none,2,5,Austin Public Health – Neighborhood Centers (Rent & Utility Help); Catholic Charities of Central Texas – Financial Stability (Rent/Mortgage/Utilities); I Belong in Austin (IBIA) – City of Austin Rental Assistance (Administered by El Buen Samaritano); St. Austin Catholic Parish – Outreach to Persons in Need (Rent/Utilities); St. Vincent de Paul – Austin Conferences (via Conference Locator),7190,23.7,2026-02-17T10:35:31.262339,
Emergency rent assistance for single mother in Austin 78741,rent-assist-austin,centraltx,0.6,none,3,5,Austin Public Health – Neighborhood Centers Rent & Utility Assistance (Montopolis & Dove Springs for 78741); Catholic Charities of Central Texas – Financial Stability (Rent/Mortgage/Utilities); I Belong in Austin (IBIA) – City of Austin Rental Assistance (Administered by El Buen Samaritano); St. Austin Catholic Parish – Outreach to Persons in Need (Rent/Utilities); St. Vincent de Paul – Austin Conferences (Zip-Code Based Parish Assistance),6670,25.2,2026-02-17T10:35:56.427905,
Emergency rent assistance for single mother in Austin 78741,rent-assist-austin,centraltx,0.9,none,1,5,Austin Public Health – Neighborhood Centers Rent & Utility Assistance (serving 78741); Catholic Charities of Central Texas – Financial Stability (Rent/Mortgage/Utilities); I Belong in Austin (IBIA) – City of Austin Rental Assistance (Administered by El Buen Samaritano); Society of St. Vincent de Paul – Austin Conferences (Including St. Mary Cathedral and Other Parishes); St. Austin Catholic Parish – Outreach to Persons in Need (Rent/Utilities),6363,32.3,2026-02-17T10:36:28.746243,
Emergency rent assistance for single mother in Austin 78741,rent-assist-austin,centraltx,0.9,none,2,5,Austin Public Health Neighborhood Centers – Rent & Utility Help (Montopolis & Dove Springs area); Catholic Charities of Central Texas – Financial Stability (Rent/Mortgage/Utilities); I Belong in Austin (IBIA) – City of Austin Rental Assistance Program (administered by El Buen Samaritano); St. Austin Catholic Parish – Outreach to Persons in Need (Rent/Utilities); St. Vincent de Paul Society – Austin Conferences (Rent & Utility Assistance),7097,28.7,2026-02-17T10:36:57.462532,
Emergency rent assistance for single mother in Austin 78741,rent-assist-austin,centraltx,0.9,none,3,5,Austin Public Health – Montopolis Neighborhood Center (Rent & Utility Help); Catholic Charities of Central Texas – Financial Stability (Rent/Mortgage/Utilities); I Belong in Austin (IBIA) – City of Austin Rental Assistance (administered by El Buen Samaritano); St. Austin Catholic Parish – Outreach to Persons in Need (Rent/Utilities); St. Vincent de Paul – Austin Area Conferences,6572,27.4,2026-02-17T10:37:24.837878,
Free dental care for uninsured adults in Reading PA,dental-reading,keystone,0.0,none,1,4,"Berks Community Health Center – Dental Services (Rockland Street); Berks Community Health Center – Penn Street Medical (for help applying for coverage); Berks Free Medical Clinic (for medical care and insurance navigation, not dental); MOM-n-PA Free Dental Clinic (statewide annual event – next in Allentown)",5162,20.6,2026-02-17T10:37:45.463252,
Free dental care for uninsured adults in Reading PA,dental-reading,keystone,0.0,none,2,4,Berks Community Health Center – Dental Services (Rockland Street); Berks Community Health Center – Penn Street; Berks Free Medical Clinic (Reading Location – Mary’s Shelter); MOM-n-PA Free Dental Clinic (Annual Statewide Event),4407,18.9,2026-02-17T10:38:04.336494,
Free dental care for uninsured adults in Reading PA,dental-reading,keystone,0.0,none,3,2,Dental Lifeline Network – Donated Dental Services (DDS) Pennsylvania; MOM-n-PA Free Dental Clinic (Annual Statewide Event),2800,18.6,2026-02-17T10:38:22.960182,
Free dental care for uninsured adults in Reading PA,dental-reading,keystone,0.3,none,1,2,Berks Community Health Center – Dental Services (Rockland Street); MOM-n-PA Free Dental Clinic (Annual Statewide Event),2019,10.5,2026-02-17T10:38:33.431536,
Free dental care for uninsured adults in Reading PA,dental-reading,keystone,0.3,none,2,3,Berks Community Health Center – Dental Services (Rockland Street); MOM-n-PA Free Dental Clinic (Annual Statewide Event); Pennsylvania Donated Dental Services (Dental Lifeline Network – PA),3675,18.7,2026-02-17T10:38:52.121437,
Free dental care for uninsured adults in Reading PA,dental-reading,keystone,0.3,none,3,2,Dental Lifeline Network – Donated Dental Services (DDS) Pennsylvania; MOM-n-PA Free Dental Clinic (Annual Statewide Event),2936,10.8,2026-02-17T10:39:02.960455,
Free dental care for uninsured adults in Reading PA,dental-reading,keystone,0.6,none,1,3,"Berks Community Health Center – Dental Services (Rockland Street); MOM-n-PA Free Dental Mission (Statewide, Next Clinic in Allentown); Pennsylvania Safety Net Dental Clinics & Medicaid Dental Information",4777,22.2,2026-02-17T10:39:25.135362,
Free dental care for uninsured adults in Reading PA,dental-reading,keystone,0.6,none,2,3,Berks Community Health Center – Dental Services (Rockland Street); Dental Lifeline Network – Donated Dental Services (DDS) Pennsylvania; MOM-n-PA Free Dental Clinic (Annual Statewide Event),3726,18.3,2026-02-17T10:39:43.465986,
Free dental care for uninsured adults in Reading PA,dental-reading,keystone,0.6,none,3,3,Federally Qualified Health Centers – Dental (via PA Health Center Locator); Mission of Mercy in Pennsylvania (MOM-n-PA) – Statewide Free Dental Clinic; Pennsylvania Donated Dental Services (Dental Lifeline Network – PA),4764,26.7,2026-02-17T10:40:10.158207,
Free dental care for uninsured adults in Reading PA,dental-reading,keystone,0.9,none,1,3,Berks Community Health Center – Dental Services (Rockland Street); Dental Lifeline Network – Donated Dental Services (Pennsylvania); MOM-n-PA Free Dental Clinic (Annual Statewide Event),4029,16.9,2026-02-17T10:40:27.104048,
Free dental care for uninsured adults in Reading PA,dental-reading,keystone,0.9,none,2,5,Berks Community Health Center – Dental Services (Rockland Street); Dental Lifeline Network – Donated Dental Services (DDS) Pennsylvania; Pennsylvania 211 – Dental and Health Resources for Berks County; Pennsylvania Medicaid (Medical Assistance) – Adult Dental Coverage; Pennsylvania Safety Net Dental Clinics Finder (via PA Community Health Centers),5492,29.8,2026-02-17T10:40:56.943161,
Free dental care for uninsured adults in Reading PA,dental-reading,keystone,0.9,none,3,1,MOM-n-PA Free Dental Clinic (Annual Statewide Event),1570,6.9,2026-02-17T10:41:03.799445,
