query,label,suffix,reasoning_effort,run,expected_web_search,web_search_used,web_search_count,result_id,trace_id,resource_count,resource_names,response_length,elapsed_seconds,timestamp,error
Lost IDs Austin TX,lost-ids-austin,centraltx,low,1,False,YES,1,e8e62c9b-acdb-4f8d-8ff0-d95cb4aded80,7dc78fa8507b70adf30d67ae14c24c9f,2,Social Security Administration – Austin North Office; Social Security Administration – Austin South / Oak Hill Office,2541,29.1,2026-02-13T07:54:37.728353,
Lost IDs Austin TX,lost-ids-austin,centraltx,low,2,False,YES,3,524afcbd-e3d2-4fcd-855a-77edc4b4214c,028e66a8a7ab8b4c726fc742a1d279d0,7,Social Security Administration – Austin North Office; Social Security Administration – Austin South (Oak Hill) Office; Texas Department of Public Safety – Driver License Mega Center (Austin–Pflugerville); Travis County Reentry Resources – Vital Document Assistance; City of Austin – Office of Vital Records; Travis County Clerk – Recording Division (Birth & Death Records); Texas Department of State Health Services – Vital Statistics Headquarters (Austin),7199,59.3,2026-02-13T07:55:42.896187,
Household items for formerly homeless client Austin,household-items-austin,centraltx,none,1,False,YES,1,06440a33-c316-4ee8-a979-aff0943bf8c0,8330816f13688b4b39bfbecb1327268e,3,Austin Furniture Bank; State Surplus Store (Texas Facilities Commission); 211 Texas (Information and Referral Line),4086,21.8,2026-02-13T07:56:10.552330,
Household items for formerly homeless client Austin,household-items-austin,centraltx,none,2,False,YES,2,53657f51-2183-4ec7-a3fb-acfcb850e4ca,b538452b015375acaec7631283d854a6,6,Austin Furniture Bank; Move-In Ministry – Austin City Lutherans / Bread for All; State Surplus Store (Texas Facilities Commission); Austin Habitat for Humanity ReStore – South Austin; Salvation Army Family Thrift Stores – Austin Area; 211 Texas – Statewide Resource Navigation,6438,35.9,2026-02-13T07:56:52.373112,
Household items for formerly homeless client Austin,household-items-austin,centraltx,low,1,False,YES,3,455b12ef-81eb-4773-bbe8-1ca0e8e021f7,fa589cb32a7df743f2d427ed21142329,4,State Surplus Store (Texas Facilities Commission); Austin Habitat for Humanity ReStore – South Austin (Ben White); Austin Habitat for Humanity ReStore – Northwest Austin (Lake Creek); Austin Furniture Bank,5020,49.0,2026-02-13T07:57:47.322707,
Household items for formerly homeless client Austin,household-items-austin,centraltx,low,2,False,YES,4,f83b59b4-364c-4e00-ad7c-05f6abaab0a8,f872cf99c94219c97f41e23c76b931ee,6,Austin Furniture Bank; Austin City Lutherans – Move-In Ministry; Texas Facilities Commission – State Surplus Store (Austin); The Salvation Army Family Stores – Austin; St. Vincent de Paul Thrift Store – Austin; Austin Habitat for Humanity ReStore – South & Northwest Austin,7364,55.1,2026-02-13T07:58:48.354221,
Cap metro cold weather information,cap-metro-cold,centraltx,none,1,False,YES,2,e7b50b1d-387f-4631-b0cf-8b27e558c9eb,81ff9e3a2ca77ca9caf77fb90d79445f,2,CapMetro – Service During Extreme Weather & Cold Weather Shelters; City of Austin – Cold Weather Shelters & Warming Centers (CapMetro Transportation Info),3911,23.4,2026-02-13T07:59:17.773731,
Cap metro cold weather information,cap-metro-cold,centraltx,none,2,False,YES,2,fb56b3f5-c5db-4d41-b305-e476bd917200,00bafbf6eee75a427de038810b1fbcdd,1,CapMetro – Service During Extreme Weather & Cold Weather Shelter Transportation,1982,22.4,2026-02-13T07:59:46.137480,
Cap metro cold weather information,cap-metro-cold,centraltx,low,1,False,YES,2,9ab19e8b-e7db-44d7-b5ff-16e8f3984c66,5b5e8f8244cedfe9c20ee31dd8cfa7ce,2,CapMetro Service During Extreme Weather; Austin Cold Weather Shelters & Warming Centers (City of Austin),2821,36.6,2026-02-13T08:00:28.795175,
Cap metro cold weather information,cap-metro-cold,centraltx,low,2,False,YES,2,dc0f2928-5670-4619-a2ab-20c1b8033be3,03c06358581bf31be8ba1bb799c1c8ff,2,CapMetro Extreme Weather Service & Cold Weather Transportation; Austin–Travis County Cold Weather Shelters & Warming Centers (City of Austin),2968,29.8,2026-02-13T08:01:04.692416,
Paraplegic support coordination Reading PA,paraplegic-reading,keystone,none,1,False,YES,2,8fff16c7-db63-4430-bbe9-6a7d710c92b8,efda744a08b6190266fdf35c41ad7866,4,Abilities in Motion (Center for Independent Living – Berks County); Berks County Mental Health/Developmental Disabilities – Intellectual & Developmental Disabilities Program; Reading Hospital Rehabilitation at Wyomissing – Spinal Cord Injury Support Group (Tower Health); Access Services – Supported Living (Schuylkill/Carbon/Berks Region Office),5148,29.9,2026-02-13T08:01:40.710087,
Paraplegic support coordination Reading PA,paraplegic-reading,keystone,none,2,False,YES,2,d1843b1e-5ceb-4b99-a38e-608788bc2c43,ef63516210592e5e4f61ed4c8bd27662,2,Abilities in Motion (Center for Independent Living – Berks County); United Spinal Association – National & Pennsylvania Chapter Network,2678,17.0,2026-02-13T08:02:03.862349,
Paraplegic support coordination Reading PA,paraplegic-reading,keystone,low,1,False,YES,4,04e32d08-a7e0-4e55-a372-a728e13b6867,04839cebab1dedccbf0c226abee1d75e,4,Abilities in Motion (Center for Independent Living – Berks County); Berks County Mental Health/Developmental Disabilities (MH/DD) Program; Encompass Health Rehabilitation Hospital of Reading – Spinal Cord Injury Services & Support Group; Reading Hospital Outpatient Therapy – Spinal Cord Injury Support Group Site (Tower Health),6150,45.6,2026-02-13T08:02:55.622959,
Paraplegic support coordination Reading PA,paraplegic-reading,keystone,low,2,False,YES,3,fccc71c9-ecaf-4745-a617-1f30457fba7f,157714936ca2710044670283fba6aa35,3,Pennsylvania Office of Vocational Rehabilitation – Reading District Office; Reading Hospital Rehabilitation at Wyomissing – Spinal Cord Injury Support & Rehab; Encompass Health Rehabilitation Hospital of Reading – Spinal Cord Injury Rehabilitation & Support,4379,34.9,2026-02-13T08:03:36.619091,
Emergency rent assistance for single mother in Austin 78741,control-rent-assist,centraltx,none,1,True,YES,1,b332a16c-bee0-479d-86ea-d2a4909a9310,c80c43a50788b472acdddae72b6469e6,5,Austin Public Health – Montopolis Neighborhood Center (Rent & Utility Help); I Belong in Austin (IBIA) – City of Austin Rental Assistance (Administered by El Buen Samaritano); Catholic Charities of Central Texas – Financial Stability (Rent/Mortgage/Utilities); St. Austin Catholic Parish – Outreach to Persons in Need (Rent/Utilities); St. Vincent de Paul – Austin Conferences (Zip-Code Based Rent & Utility Help),6550,31.1,2026-02-13T08:04:13.776809,
Emergency rent assistance for single mother in Austin 78741,control-rent-assist,centraltx,none,2,True,YES,1,9589fa0b-39c0-40c6-badd-e7ffe41fcc18,c435e3acdd97d5553bd85fc0627e5192,5,Austin Public Health – Montopolis Neighborhood Center (Rent & Utility Help); I Belong in Austin (IBIA) – City of Austin Rental Assistance Program (El Buen Samaritano); Catholic Charities of Central Texas – Financial Stability (Rent/Mortgage/Utilities); St. Austin Catholic Parish – Outreach to Persons in Need (Rent/Utilities); St. Vincent de Paul Society – Austin Conferences (Rent & Utility Help by ZIP Code),6546,62.4,2026-02-13T08:05:22.337830,
Emergency rent assistance for single mother in Austin 78741,control-rent-assist,centraltx,low,1,True,YES,1,b6d1a8ed-9947-4071-9113-de8e7d1eccc0,e666487d12239e0f9ab24f6f817a9914,5,Austin Public Health Neighborhood Centers – Rent & Utility Help (Montopolis + Other Centers); I Belong in Austin (IBIA) – City of Austin Rental Assistance (Administered by El Buen Samaritano); Catholic Charities of Central Texas – Financial Stability (Rent/Mortgage/Utilities); St. Austin Catholic Parish – Outreach to Persons in Need (Rent/Utilities Assistance); Central Presbyterian Church – Limited Direct Financial Assistance,6917,50.9,2026-02-13T08:06:19.294515,
Emergency rent assistance for single mother in Austin 78741,control-rent-assist,centraltx,low,2,True,YES,1,0a292eda-ed99-4826-bc28-159796337566,64acb6a940bd0106c5134520c7494a17,6,Austin Public Health Neighborhood Centers – Rent & Utility Help (Montopolis Neighborhood Center); I Belong in Austin (IBIA) – City of Austin Rental Assistance (Administered by El Buen Samaritano); Catholic Charities of Central Texas – Financial Stability (Rent/Mortgage/Utilities); St. Austin Catholic Parish – Outreach to Persons in Need (Rent/Utilities); St. Vincent de Paul – Austin Conferences (Includes Parishes Serving 78741); St. James’ Episcopal Church – Neighbor 2 Neighbor (N2N),6323,48.4,2026-02-13T08:07:13.878949,
Free dental care for uninsured adults in Reading PA,control-dental-reading,keystone,none,1,True,YES,2,adee74c6-e425-444f-bdf9-7372898c791e,a12c8d522e3f1247a1aea72d206e5ef4,3,Berks Community Health Center – Dental Services; Berks Free Medical Clinic – Reading Site (Medical Home; can advise on dental referrals); MOM-n-PA Free Dental Clinic (Annual Statewide Event – past event held in Reading),4209,24.4,2026-02-13T08:07:44.460604,
Free dental care for uninsured adults in Reading PA,control-dental-reading,keystone,none,2,True,YES,2,247befeb-37b4-4b5d-8eba-307377ce651c,e88bd8791be99eff45a46aa71065357d,2,Berks Community Health Center – Rockland Dental; MOM-n-PA Free Dental Clinic (Statewide Annual Event),2312,19.8,2026-02-13T08:08:10.295621,
Free dental care for uninsured adults in Reading PA,control-dental-reading,keystone,low,1,True,YES,4,74496d6b-3c38-4758-9e97-6b13cf04f586,87bafdb31b02d88608b80b2d15d5adad,1,Berks Community Health Center – Rockland Street Dental,1495,62.7,2026-02-13T08:09:19.025654,
Free dental care for uninsured adults in Reading PA,control-dental-reading,keystone,low,2,True,YES,5,fa516424-fce2-4b88-94dd-a6cdaad7d690,8dfa5f8d823d8df3389552975749718d,3,Berks Community Health Center – Rockland (Dental Clinic); Donated Dental Services (DDS) – Pennsylvania; Pennsylvania Medicaid (Medical Assistance) – Dental Services,4637,58.2,2026-02-13T08:10:23.275487,
